Year,Country,Num_Medals,Total_medal
1896,Greece,45,122
1900,France,95,265
1904,United States,244,280
1906,Greece,33,235
1908,United Kingdom,138,326
1912,Sweden,64,309
1920,Belgium,35,434
1924,France,38,378
1928,Netherlands,19,327
1932,United States,103,346
1936,Germany,89,388
1948,United Kingdom,84,413
1952,Finland,22,459
1956,Australia,35,469
1956,Sweden,3,18
1960,Italy,36,461
1964,Japan,0,504
1968,Mexico,9,527
1972,Germany,25,527
1976,Canada,11,613
1980,Soviet Union,187,631
1984,United States,174,688
1988,South Korea,33,739
1992,Spain,22,815
1996,United States,101,841
2000,Australia,58,928
2004,Greece,16,930
2008,China,100,958
2012,United Kingdom,65,963
2016,Brazil,19,974
2020,Japan,58,1080
2024,France,64,1100
